Filename,HiF,LoF,SppAccp,#Maj,#Accp,~Spp,1st,2nd,3rd,4th,Fc mean,Fc StdDev,Dur mean,Dur StdDev,calls/sec,mean HiFreq,mean LoFreq,mean UpprSlp,mean LwrSlp,mean TotalSlp,mean PrecedingIntvl,ParentDir,NextDirUp,FileLength(sec),SB|Version,AccpCallQuality,Max#CallsConsidered,MonitoringNight
BANFF-MOBILE_20240702_224926_000.wav,1,,,2,3,Myev,Myev,Myvo,,,37.03,2.64,2.98,0.43,6.35,66.89,29.83,14.41,5.16,12.72,157.4,Processed,BNP,1.27,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_224933_000.wav,1,,,8,17,Labo/Mylu,Mylu,Labo,,,40.92,1.36,5.02,1.05,12.65,64.54,39.32,10.9,3.09,4.73,79.02,Processed,BNP,3.16,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_225030_000.wav,1,,,1,2,Labo,Labo,,,,38.15,0.58,5.63,0.08,9.52,64.43,37.65,11.09,2.25,3.92,105,Processed,BNP,0.31,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_225038_000.wav,1,,,5,9,Labo,Labo,Myvo,Mylu,,43.1,2.93,3.86,0.79,13.27,74.61,40.06,18.1,5.85,9.14,75.33,Processed,BNP,1.44,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_225051_000.wav,1,,,4,9,Labo/Mylu,Mylu,Labo,,,41.14,2.79,5.44,0.93,9.74,65.85,38.98,9.31,3.07,4.61,102.63,Processed,BNP,1.4,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_225054_000.wav,1,,,2,6,Mylu,Mylu,Myyu,Myvo,Labo,42.81,4.88,4.11,0.78,12.59,83.04,36.63,19.33,4.8,9.33,79.45,Processed,BNP,1.56,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_225256_000.wav,,,,5,9,Labo/Mylu,Labo,Mylu,,,39.51,2.09,7.93,1.76,10.3,63.78,38.45,7.73,1.52,2.52,97.11,Processed,BNP,2.31,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_225815_000.wav,,1,,2,3,Lano,Lano,Epfu,,,26,0.87,8.96,2.71,3.97,29.1,25.9,0.67,0.16,0.28,251.7,Processed,BNP,1.85,,0.8,32,2024-07-02
BANFF-MOBILE_20240702_225959_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
BANFF-MOBILE_20240702_230103_000.wav,,,,,,,,,,,,,,,Inf,,,,,,,Processed,BNP,0,,0,0,2024-07-02
